fixtueID,timestamp,home_team_id,home_team_name,home_goals,away_goals,away_team_id,away_team_name,result
711680,1633251600,1081,TOM Tomsk,1,3,6787,Alaniya Vladikavkaz,Away
711681,1633262400,1080,Orenburg,2,1,2003,Spartak Moscow 2,Home
711682,1633266000,6786,Akron,1,0,6831,Urozhay,Home
711683,1633273200,2001,FK Neftekhimik,2,3,1089,Enisey,Away
711684,1633266000,2010,Rotor Volgograd,1,1,3985,Torpedo Moskva,Draw
711685,1633269600,6801,KAMAZ,2,0,2015,Krasnodar 2,Home
711686,1633773600,1089,Enisey,1,1,2010,Rotor Volgograd,Draw
711687,1633788000,6831,Urozhay,0,2,2001,FK Neftekhimik,Away
711688,1633780800,2003,Spartak Moscow 2,0,1,6786,Akron,Away
711689,1633788000,6787,Alaniya Vladikavkaz,1,0,1080,Orenburg,Home
711690,1633784400,3984,Tekstilshchik,1,1,1081,TOM Tomsk,Draw
711691,1633777200,6797,Dolgoprudny,2,0,1993,Fakel Voronezh,Home
711692,1633755600,1087,Ska-khabarovsk,0,2,2006,Baltika,Away
711693,1633784400,2004,Volgar Astrakhan,0,2,6815,Metallurg Lipetsk,Away
711694,1633788000,3985,Torpedo Moskva,1,1,6801,KAMAZ,Draw
711695,1633777200,6833,Veles,3,1,2015,Krasnodar 2,Home
711696,1634135400,6815,Metallurg Lipetsk,1,0,6833,Veles,Home
711697,1634144400,2006,Baltika,0,2,2004,Volgar Astrakhan,Away
711698,1634133600,1993,Fakel Voronezh,0,1,1087,Ska-khabarovsk,Away
711699,1634124600,1081,TOM Tomsk,1,1,6797,Dolgoprudny,Draw
711700,1634130000,1080,Orenburg,2,0,3984,Tekstilshchik,Home
711701,1634137200,6786,Akron,2,1,6787,Alaniya Vladikavkaz,Home
711702,1634137200,2001,FK Neftekhimik,5,0,2003,Spartak Moscow 2,Home
711703,1634139000,2010,Rotor Volgograd,1,3,6831,Urozhay,Away
711704,1634137200,6801,KAMAZ,1,1,1089,Enisey,Draw
711705,1634126400,2015,Krasnodar 2,1,1,3985,Torpedo Moskva,Draw
711706,1634464800,1089,Enisey,2,0,2015,Krasnodar 2,Home
711707,1634479200,6831,Urozhay,1,0,6801,KAMAZ,Home
711708,1634472000,2003,Spartak Moscow 2,1,1,2010,Rotor Volgograd,Draw
711709,1634479200,6787,Alaniya Vladikavkaz,2,3,2001,FK Neftekhimik,Away
711710,1634475600,3984,Tekstilshchik,2,2,6786,Akron,Draw
711711,1634464800,6797,Dolgoprudny,0,0,1080,Orenburg,Draw
711712,1651899600,1087,Ska-khabarovsk,2,0,1081,TOM Tomsk,Home
711713,1634472000,2004,Volgar Astrakhan,0,2,1993,Fakel Voronezh,Away
711714,1634472000,6815,Metallurg Lipetsk,0,4,2006,Baltika,Away
711715,1634468400,6833,Veles,3,5,3985,Torpedo Moskva,Away
711716,1635004800,2006,Baltika,1,0,6833,Veles,Home
711717,1634997600,1993,Fakel Voronezh,3,2,6815,Metallurg Lipetsk,Home
711718,1634979600,1081,TOM Tomsk,2,1,2004,Volgar Astrakhan,Home
711719,1634986800,1080,Orenburg,2,0,1087,Ska-khabarovsk,Home
711720,1634990400,6786,Akron,2,1,6797,Dolgoprudny,Home
711721,1634983200,2001,FK Neftekhimik,3,1,3984,Tekstilshchik,Home
711722,1634994000,2010,Rotor Volgograd,0,0,6787,Alaniya Vladikavkaz,Draw
711723,1634997600,6801,KAMAZ,4,1,2003,Spartak Moscow 2,Home
711724,1634997600,2015,Krasnodar 2,1,2,6831,Urozhay,Away
711725,1634997600,3985,Torpedo Moskva,2,1,1089,Enisey,Home
711726,1635685200,6831,Urozhay,2,1,1089,Enisey,Home
711727,1635699600,2003,Spartak Moscow 2,0,1,3985,Torpedo Moskva,Away
711728,1635688800,6787,Alaniya Vladikavkaz,2,1,2015,Krasnodar 2,Home
711729,1635678000,3984,Tekstilshchik,4,1,6801,KAMAZ,Home
711730,1635678000,6797,Dolgoprudny,2,2,2010,Rotor Volgograd,Draw
711731,1635663600,1087,Ska-khabarovsk,3,1,2001,FK Neftekhimik,Home
711732,1635681600,2004,Volgar Astrakhan,1,0,6786,Akron,Home
711733,1635681600,6815,Metallurg Lipetsk,1,0,1080,Orenburg,Home
711734,1635696000,2006,Baltika,4,0,1081,TOM Tomsk,Home
711735,1635681600,6833,Veles,0,4,1993,Fakel Voronezh,Away
711736,1636192800,1089,Enisey,2,1,2003,Spartak Moscow 2,Home
711737,1636207200,6787,Alaniya Vladikavkaz,5,1,3985,Torpedo Moskva,Home
711738,1636196400,3984,Tekstilshchik,0,1,2015,Krasnodar 2,Away
711739,1636171200,1087,Ska-khabarovsk,3,1,2010,Rotor Volgograd,Home
711740,1636185600,1081,TOM Tomsk,2,2,1993,Fakel Voronezh,Draw
711741,1636196400,1080,Orenburg,2,1,2006,Baltika,Home
711742,1636196400,6786,Akron,2,0,6815,Metallurg Lipetsk,Home
711743,1636192800,2001,FK Neftekhimik,0,1,2004,Volgar Astrakhan,Away
711744,1636207200,6801,KAMAZ,1,1,6797,Dolgoprudny,Draw
711745,1636196400,6833,Veles,1,0,6831,Urozhay,Home
711746,1636801200,2003,Spartak Moscow 2,0,0,6831,Urozhay,Draw
711747,1636808400,6787,Alaniya Vladikavkaz,1,2,1089,Enisey,Away
711748,1636801200,3984,Tekstilshchik,1,1,3985,Torpedo Moskva,Draw
711749,1636801200,6797,Dolgoprudny,0,1,2015,Krasnodar 2,Away
711750,1636776000,1087,Ska-khabarovsk,1,0,6801,KAMAZ,Home
711751,1636801200,2004,Volgar Astrakhan,2,0,2010,Rotor Volgograd,Home
711752,1636804800,6815,Metallurg Lipetsk,1,2,2001,FK Neftekhimik,Away
711753,1636815600,2006,Baltika,2,0,6786,Akron,Home
711754,1636808400,1993,Fakel Voronezh,1,0,1080,Orenburg,Home
711755,1636790400,1081,TOM Tomsk,1,0,6833,Veles,Home
711756,1637150400,1089,Enisey,3,0,3984,Tekstilshchik,Home
711757,1637161200,6831,Urozhay,5,5,6787,Alaniya Vladikavkaz,Draw
711758,1637146800,1080,Orenburg,2,1,1081,TOM Tomsk,Home
711759,1637161200,6786,Akron,2,0,1993,Fakel Voronezh,Home
711760,1637157600,2001,FK Neftekhimik,0,0,2006,Baltika,Draw
711761,1637154000,2010,Rotor Volgograd,0,1,6815,Metallurg Lipetsk,Away
711762,1637161200,6801,KAMAZ,0,0,2004,Volgar Astrakhan,Draw
711763,1637161200,2015,Krasnodar 2,3,1,1087,Ska-khabarovsk,Home
711764,1628438400,3985,Torpedo Moskva,1,0,6797,Dolgoprudny,Home
711765,1637163000,6833,Veles,2,1,2003,Spartak Moscow 2,Home
711766,1637503200,6787,Alaniya Vladikavkaz,2,3,2003,Spartak Moscow 2,Away
711767,1637492400,3984,Tekstilshchik,1,3,6831,Urozhay,Away
711768,1637506800,6797,Dolgoprudny,0,0,1089,Enisey,Draw
711769,1637492400,2004,Volgar Astrakhan,0,0,2015,Krasnodar 2,Draw
711770,1637496000,6815,Metallurg Lipetsk,0,1,6801,KAMAZ,Away
711771,1637506800,2006,Baltika,2,1,2010,Rotor Volgograd,Home
711772,1637499600,1993,Fakel Voronezh,3,1,2001,FK Neftekhimik,Home
711773,1629021600,1081,TOM Tomsk,2,1,6786,Akron,Home
711774,1637492400,3985,Torpedo Moskva,0,0,1087,Ska-khabarovsk,Draw
711775,1637492400,6833,Veles,1,2,1080,Orenburg,Away
711776,1638003600,1089,Enisey,3,1,1087,Ska-khabarovsk,Home
711777,1638018000,6831,Urozhay,0,2,6797,Dolgoprudny,Away
711778,1638010800,2003,Spartak Moscow 2,2,1,3984,Tekstilshchik,Home
711779,1638018000,6787,Alaniya Vladikavkaz,2,1,6833,Veles,Home
711780,1638025200,2006,Baltika,0,0,6801,KAMAZ,Draw
711781,1638000000,1081,TOM Tomsk,1,1,2001,FK Neftekhimik,Draw
711782,1638010800,6786,Akron,0,3,1080,Orenburg,Away
711783,1638010800,2010,Rotor Volgograd,1,2,1993,Fakel Voronezh,Away
711784,1638018000,2015,Krasnodar 2,1,0,6815,Metallurg Lipetsk,Home
711785,1638010800,3985,Torpedo Moskva,1,0,2004,Volgar Astrakhan,Home
711786,1646575200,6831,Urozhay,1,0,1087,Ska-khabarovsk,Home
711787,1646564400,3984,Tekstilshchik,0,4,6787,Alaniya Vladikavkaz,Away
711788,1646564400,6797,Dolgoprudny,1,4,2003,Spartak Moscow 2,Away
711789,1646575200,2004,Volgar Astrakhan,2,3,1089,Enisey,Away
711790,1652281200,6815,Metallurg Lipetsk,1,3,3985,Torpedo Moskva,Away
711791,1652284800,1993,Fakel Voronezh,1,0,6801,KAMAZ,Home
711792,1646564400,6786,Akron,1,1,6833,Veles,Draw
711793,1646569800,2001,FK Neftekhimik,2,1,1080,Orenburg,Home
711794,1646650800,2010,Rotor Volgograd,1,5,1081,TOM Tomsk,Away
711795,1646751600,2015,Krasnodar 2,0,3,2006,Baltika,Away
711796,1647075600,1089,Enisey,2,1,6815,Metallurg Lipetsk,Home
711797,1647093600,6831,Urozhay,1,3,2004,Volgar Astrakhan,Away
711798,1647082800,2003,Spartak Moscow 2,1,1,1087,Ska-khabarovsk,Draw
711799,1647090000,6787,Alaniya Vladikavkaz,2,0,6797,Dolgoprudny,Home
711800,1647075600,1081,TOM Tomsk,1,0,6801,KAMAZ,Home
711801,1647088200,2001,FK Neftekhimik,0,0,6786,Akron,Draw
711802,1647090000,2010,Rotor Volgograd,0,3,1080,Orenburg,Away
711803,1647097200,2015,Krasnodar 2,1,2,1993,Fakel Voronezh,Away
711804,1647082800,3985,Torpedo Moskva,2,2,2006,Baltika,Draw
711805,1647082800,6833,Veles,3,2,3984,Tekstilshchik,Home
711806,1647687600,6797,Dolgoprudny,1,0,3984,Tekstilshchik,Home
711807,1647673200,1087,Ska-khabarovsk,2,0,6787,Alaniya Vladikavkaz,Home
711808,1647691200,2004,Volgar Astrakhan,1,0,2003,Spartak Moscow 2,Home
711809,1647691200,6815,Metallurg Lipetsk,0,2,6831,Urozhay,Away
711810,1647702000,2006,Baltika,1,2,1089,Enisey,Away
711811,1647698400,1993,Fakel Voronezh,0,1,3985,Torpedo Moskva,Away
711812,1647684000,1080,Orenburg,2,0,6801,KAMAZ,Home
711813,1647766800,1081,TOM Tomsk,1,2,2015,Krasnodar 2,Away
711814,1647687600,6786,Akron,1,0,2010,Rotor Volgograd,Home
711815,1647693000,2001,FK Neftekhimik,2,1,6833,Veles,Home
711816,1648288800,1089,Enisey,2,1,1993,Fakel Voronezh,Home
711817,1648303200,6831,Urozhay,1,1,2006,Baltika,Draw
711818,1648292400,2003,Spartak Moscow 2,3,2,6815,Metallurg Lipetsk,Home
711819,1648299600,6787,Alaniya Vladikavkaz,0,1,2004,Volgar Astrakhan,Away
711820,1648270800,1087,Ska-khabarovsk,4,0,3984,Tekstilshchik,Home
711821,1648299600,2010,Rotor Volgograd,2,1,2001,FK Neftekhimik,Home
711822,1648299600,6801,KAMAZ,1,2,6786,Akron,Away
711823,1648292400,2015,Krasnodar 2,5,2,1080,Orenburg,Home
711824,1631721600,3985,Torpedo Moskva,3,3,1081,TOM Tomsk,Draw
711825,1648292400,6833,Veles,1,0,6797,Dolgoprudny,Home
711826,1648875600,1087,Ska-khabarovsk,3,3,6797,Dolgoprudny,Draw
711827,1648904400,2004,Volgar Astrakhan,1,1,3984,Tekstilshchik,Draw
711828,1648900800,6815,Metallurg Lipetsk,0,3,6787,Alaniya Vladikavkaz,Away
