id,team_name,league,elo_rating,games,prev_elos
596,Zenit Saint Petersburg,235,1831.41,70,"{1657904400: 1791.35, 1658509200: 1784.6399999999999, 1659191400: 1796.33, 1659805200: 1806.97, 1660399200: 1800.81, 1661092200: 1809.7, 1661680800: 1813.78, 1661961600: 1826.69, 1662310800: 1830.31, 1662906600: 1852.0, 1663165800: 1857.52, 1663430400: 1811.3899999999999, 1664472600: 1835.36, 1664717400: 1799.26, 1665226800: 1812.12, 1665927000: 1799.1499999999999, 1666287000: 1818.1599999999999, 1666630800: 1824.06, 1667147400: 1832.9299999999998, 1667655000: 1849.1499999999999, 1668259800: 1813.87, 1668610800: 1823.7099999999998, 1669554000: 1833.2299999999998, 1677324600: 1824.8499999999997, 1677936600: 1829.9699999999996, 1678618800: 1835.8999999999996, 1678899600: 1837.5699999999997, 1679243400: 1823.6999999999998, 1680364800: 1800.9399999999998, 1681059600: 1812.5199999999998, 1681660800: 1827.3499999999997, 1682179200: 1824.0699999999997, 1682766000: 1833.7399999999998, 1683471600: 1854.4799999999998, 1683984600: 1861.8799999999999, 1684589400: 1847.9899999999998, 1685203200: 1840.7199999999998, 1685800800: 1827.9299999999998}"
555,CSKA Moscow,235,1784.20,77,"{1657972800: 1621.49, 1658577600: 1638.59, 1659268800: 1675.1599999999999, 1659796200: 1672.34, 1660399200: 1683.09, 1661083200: 1674.1999999999998, 1661705100: 1693.2999999999997, 1661954400: 1695.0199999999998, 1662292800: 1711.4499999999998, 1662820200: 1728.7899999999997, 1663165800: 1752.5499999999997, 1663412400: 1756.7899999999997, 1664384400: 1725.4999999999998, 1664631000: 1734.3799999999999, 1665235800: 1743.4699999999998, 1665939600: 1731.4399999999998, 1666200600: 1728.84, 1666522800: 1692.52, 1667059200: 1691.6, 1667664000: 1706.35, 1668357000: 1671.98, 1669118400: 1657.3600000000001, 1669467600: 1659.98, 1677162600: 1680.22, 1677601800: 1700.6100000000001, 1678033800: 1680.88, 1678627800: 1647.69, 1678890600: 1673.3700000000001, 1679243400: 1675.39, 1680442200: 1698.15, 1680712200: 1715.77, 1681047000: 1723.9, 1681565400: 1728.3400000000001, 1681920000: 1748.7, 1682267400: 1736.93, 1682775000: 1727.3500000000001, 1683122400: 1757.9900000000002, 1683466200: 1774.7600000000002, 1683993600: 1783.0300000000002, 1684675800: 1786.2900000000002, 1685203200: 1765.8300000000002, 1685800800: 1768.3100000000002, 1686492000: 1782.65}"
597,Lokomotiv Moscow,235,1721.26,70,"{1658068200: 1584.34, 1658682000: 1576.51, 1659191400: 1570.71, 1659805200: 1560.07, 1660392000: 1539.4399999999998, 1660996800: 1534.2399999999998, 1661688000: 1582.7799999999997, 1661959800: 1599.9399999999998, 1662301800: 1572.2799999999997, 1662897600: 1548.4699999999998, 1663156800: 1517.0599999999997, 1663516800: 1521.1599999999996, 1664375400: 1515.0399999999997, 1664640000: 1561.0799999999997, 1665244800: 1516.2399999999998, 1665831600: 1493.8199999999997, 1666105200: 1517.2899999999997, 1666454400: 1526.2199999999998, 1667059200: 1498.1599999999999, 1667732400: 1483.4099999999999, 1668270600: 1494.58, 1669222800: 1484.98, 1669564800: 1476.29, 1677085200: 1503.48, 1677517200: 1493.14, 1677947400: 1487.7900000000002, 1678541400: 1537.5000000000002, 1678804200: 1568.0100000000002, 1679157000: 1563.5200000000002, 1680346800: 1584.4200000000003, 1681059600: 1620.6900000000003, 1681642800: 1605.8600000000004, 1682267400: 1655.7100000000003, 1682870400: 1665.2900000000002, 1683554400: 1673.1800000000003, 1684062000: 1685.2900000000002, 1684580400: 1682.5100000000002, 1685280600: 1689.3600000000001, 1685800800: 1718.1200000000001}"
621,Krasnodar,235,1708.12,75,"{1658077200: 1632.87, 1658595600: 1620.08, 1659106800: 1578.96, 1659805200: 1611.67, 1660410000: 1632.3000000000002, 1661101200: 1638.66, 1661697000: 1649.8500000000001, 1661952600: 1675.14, 1662219000: 1700.0700000000002, 1662820200: 1713.15, 1663156800: 1689.39, 1663507800: 1685.2900000000002, 1664384400: 1693.9700000000003, 1664812800: 1705.8600000000004, 1665331200: 1705.7700000000004, 1665840600: 1688.9100000000005, 1666191600: 1659.8400000000006, 1666436400: 1636.9200000000005, 1667147400: 1666.4600000000005, 1667655000: 1650.2400000000005, 1668337200: 1644.0800000000004, 1669222800: 1607.5800000000004, 1669564800: 1616.2700000000004, 1677162600: 1625.7500000000005, 1677601800: 1605.3600000000004, 1678023000: 1625.0900000000004, 1678550400: 1610.6400000000003, 1678881600: 1636.8800000000003, 1679157000: 1679.1200000000003, 1680433200: 1658.2200000000003, 1680800400: 1680.5000000000002, 1681056000: 1673.6800000000003, 1681565400: 1681.2200000000003, 1681920000: 1705.9200000000003, 1682352000: 1694.4500000000003, 1682784000: 1679.6800000000003, 1683131400: 1669.7900000000002, 1683475200: 1655.0100000000002, 1683984600: 1664.2500000000002, 1684341000: 1678.1400000000003, 1684684800: 1688.6600000000003, 1685203200: 1709.1500000000003, 1685800800: 1706.6700000000003, 1686492000: 1709.6700000000003}"
558,Spartak Moscow,235,1661.97,76,"{1657990800: 1656.3, 1658595600: 1658.74, 1659277800: 1699.86, 1659787200: 1709.8, 1660496400: 1728.9199999999998, 1661005800: 1754.4699999999998, 1661610600: 1733.6499999999999, 1661875200: 1753.2199999999998, 1662310800: 1759.8199999999997, 1662914700: 1738.1299999999997, 1663252200: 1709.8999999999996, 1663516800: 1718.2899999999997, 1664472600: 1724.4099999999996, 1664726400: 1760.5099999999995, 1665313200: 1773.7999999999995, 1665939600: 1786.0399999999995, 1666191600: 1788.6399999999994, 1666531800: 1797.0699999999995, 1667136600: 1801.2099999999996, 1667646000: 1804.1299999999997, 1668270600: 1794.8299999999997, 1669215600: 1804.4299999999996, 1669554000: 1778.1899999999996, 1677085200: 1786.5699999999997, 1677517200: 1796.9099999999996, 1677927600: 1802.2599999999995, 1678541400: 1789.5899999999995, 1678813200: 1791.9799999999996, 1679130000: 1780.6199999999997, 1680355800: 1746.6599999999996, 1680616800: 1734.2799999999995, 1680971400: 1714.6599999999996, 1681574400: 1704.4199999999996, 1681911000: 1715.4399999999996, 1682352000: 1687.3899999999996, 1682785800: 1702.1599999999996, 1683471600: 1696.8499999999997, 1683975600: 1689.4499999999996, 1684675800: 1678.2799999999995, 1685271600: 1698.7399999999996, 1685800800: 1683.8399999999995}"
1085,Akhmat Grozny,235,1656.20,69,"{1657990800: 1598.82, 1658682000: 1596.3799999999999, 1659200400: 1605.4199999999998, 1659805200: 1596.31, 1660478400: 1602.47, 1661083200: 1641.89, 1661619600: 1622.7900000000002, 1661967000: 1593.2300000000002, 1662301800: 1605.3500000000001, 1662828300: 1629.16, 1663079400: 1586.21, 1663405200: 1573.96, 1664452800: 1594.2, 1664726400: 1625.0900000000001, 1665322200: 1639.0000000000002, 1665840600: 1618.9400000000003, 1666182600: 1648.0100000000002, 1666540800: 1617.88, 1667050200: 1625.5400000000002, 1667655000: 1599.5400000000002, 1668182400: 1634.8200000000002, 1669208400: 1614.3400000000001, 1669546800: 1632.5100000000002, 1677411000: 1610.3100000000002, 1677936600: 1619.67, 1678541400: 1640.3600000000001, 1678881600: 1609.8500000000001, 1679232600: 1567.6100000000001, 1680355800: 1595.21, 1680960600: 1607.5900000000001, 1681651800: 1633.5500000000002, 1682256600: 1626.4900000000002, 1682775000: 1634.8200000000002, 1683379800: 1604.18, 1684071000: 1629.19, 1684598400: 1670.28, 1685289600: 1677.03, 1685800800: 1659.2}"
1080,Orenburg,235,1655.26,77,"{1657981800: 1483.95, 1658586600: 1453.14, 1659277800: 1487.2800000000002, 1659891600: 1477.3400000000001, 1660487400: 1468.42, 1661101200: 1482.8700000000001, 1661688000: 1471.68, 1661967000: 1454.52, 1662199200: 1442.4, 1662906600: 1467.99, 1663165800: 1462.47, 1663498800: 1454.44, 1664375400: 1502.67, 1664622000: 1503.47, 1665322200: 1538.01, 1665851400: 1558.07, 1666182600: 1546.48, 1666522800: 1576.6100000000001, 1666965600: 1577.5300000000002, 1667577600: 1592.7300000000002, 1668337200: 1553.3200000000002, 1669201200: 1589.8200000000002, 1669546800: 1620.38, 1677936600: 1608.22, 1678464000: 1587.53, 1679130000: 1634.48, 1680433200: 1668.44, 1681135200: 1669.05, 1681642800: 1663.18, 1682170200: 1613.3300000000002, 1682852400: 1634.8500000000001, 1683466200: 1641.17, 1683968400: 1632.9, 1684589400: 1615.7, 1685194200: 1622.97, 1685800800: 1637.82}"
779,FC Rostov,235,1618.39,71,"{1658077200: 1565.33, 1658682000: 1572.76, 1659286800: 1578.56, 1659891600: 1594.09, 1660487400: 1603.01, 1661014800: 1624.14, 1661705100: 1623.17, 1661968800: 1621.45, 1662397200: 1646.1200000000001, 1662914700: 1658.6200000000001, 1663165800: 1686.8500000000001, 1663421400: 1694.88, 1664452800: 1704.49, 1664717400: 1673.6, 1665331200: 1660.74, 1665765000: 1677.6, 1666114200: 1645.24, 1666445400: 1622.05, 1667050200: 1618.0, 1667750400: 1644.0, 1668250800: 1660.6, 1669201200: 1696.35, 1669546800: 1665.79, 1677076200: 1687.99, 1677506400: 1678.83, 1677947400: 1661.49, 1678638600: 1611.78, 1678978800: 1621.34, 1679223600: 1640.1699999999998, 1680451200: 1652.0399999999997, 1680800400: 1657.1699999999998, 1681135200: 1663.9899999999998, 1681660800: 1669.8599999999997, 1682240400: 1673.1399999999996, 1682785800: 1707.6699999999996, 1683388800: 1712.9799999999996, 1684080000: 1659.3699999999997, 1684684800: 1635.3899999999996, 1685289600: 1614.8999999999996, 1685800800: 1632.7299999999996}"
1084,Ural,235,1595.18,74,"{1657972800: 1561.7, 1658586600: 1544.6000000000001, 1659106800: 1510.46, 1659787200: 1477.75, 1660321800: 1458.63, 1660989600: 1464.5700000000002, 1661680800: 1440.9800000000002, 1661947200: 1428.0700000000002, 1662226200: 1473.13, 1662890400: 1465.8600000000001, 1663165800: 1482.3000000000002, 1663405200: 1478.0600000000002, 1664366400: 1457.8200000000002, 1664640000: 1472.65, 1665153000: 1517.49, 1665765000: 1526.9, 1666278000: 1559.26, 1666621800: 1585.2, 1667127600: 1600.79, 1667732400: 1602.51, 1668243600: 1591.34, 1669118400: 1603.08, 1669467600: 1600.46, 1677076200: 1616.1100000000001, 1677506400: 1625.2700000000002, 1677927600: 1642.6100000000001, 1678532400: 1655.2800000000002, 1678813200: 1667.9900000000002, 1679138100: 1679.3500000000001, 1680364800: 1652.46, 1680616800: 1640.88, 1680960600: 1660.5, 1681565400: 1634.54, 1681920000: 1614.18, 1682240400: 1625.95, 1682784000: 1591.42, 1683122400: 1601.3100000000002, 1683457200: 1584.5400000000002, 1683968400: 1581.8600000000001, 1684341000: 1599.0600000000002, 1684666800: 1588.5400000000002, 1685185200: 1558.64, 1685800800: 1585.3600000000001}"
1083,Rubin,236,1589.01,67,"{1658070000: 1397.38, 1658656800: 1435.99, 1659373200: 1422.52, 1659970800: 1420.04, 1660581000: 1422.72, 1661075100: 1449.99, 1661698800: 1461.72, 1662303600: 1450.99, 1662894000: 1444.5, 1663513200: 1461.33, 1664110800: 1470.36, 1664629200: 1448.01, 1664971200: 1422.99, 1665298800: 1395.4, 1665925200: 1423.1000000000001, 1666526400: 1437.22, 1667131200: 1439.48, 1667739600: 1437.54, 1668344400: 1457.68, 1668934800: 1452.28, 1669550400: 1471.04, 1678113000: 1485.3899999999999, 1678622400: 1501.06, 1679148000: 1506.73, 1679738400: 1502.42, 1680436800: 1503.99, 1680879600: 1488.94, 1681563600: 1489.46, 1682094600: 1503.56, 1682780400: 1519.8999999999999, 1683388800: 1531.28, 1683990000: 1540.3, 1684607400: 1550.8799999999999, 1685199600: 1579.04, 1685790000: 1588.26}"
