fixtueID,timestamp,home_team_id,home_team_name,home_goals,away_goals,away_team_id,away_team_name
941560,1663167600,6815,Metallurg Lipetsk,1,2,2010,Rotor Volgograd
941561,1661868000,2002,Spartak Nalchik,1,0,6814,Mashuk-KMV
941562,1661959800,6791,Chernomorets,2,0,6798,Druzhba
941563,1661954400,14116,Forte Taganrog,1,2,6824,SKA Rostov
941564,1661959800,3983,Chayka,1,1,6806,Kuban Kholding
941565,1661959800,19449,Spartak Kostroma,3,1,19447,Dinamo Vologda
941566,1661958000,6830,Torpedo Vladimir,2,0,6837,Znamya Truda
941567,1661943600,6840,Zvezda St. Petersburg,2,1,16865,Yadro St. Petersburg
941568,1661956200,6812,Luki-Energiya,1,1,17725,Dinamo St. Petersburg
941569,1661950800,16866,Zenit Penza,2,2,1995,FK Sokol Saratov
941570,1662044400,14121,Znamya Noginsk,1,2,16860,Peresvet Podolsk
941571,1661954400,6807,Kvant,0,3,6795,Dinamo Bryansk
941572,1661940000,6829,Strogino,3,2,6802,Kaluga
941573,1661958000,19451,FK Spartak Tambov,3,1,6826,Salyut-Belgorod
941574,1661952600,1076,Amkar,0,1,6836,Zenit Izhevsk
941575,1661954400,2000,Tyumen,3,1,6818,Nosta
941576,1661943600,19946,Zhasmin Mikhaylovsk,0,4,6790,Chelyabinsk
941577,1660665600,19939,Amkal,1,1,6838,Zorkiy
941578,1660735800,19945,Temp Barnaul,2,1,6794,Dinamo Barnaul
941579,1660737600,6804,Kolomna,1,0,6827,Saturn Ramenskoye
941580,1660744800,14115,Essentuki,0,3,16863,StavAgrosoyuz
941581,1660748400,6796,Dinamo Stavropol,3,0,2013,FC Armavir
941582,1660750200,19938,2Drots,3,0,2014,Chertanovo Moscow
941583,1660752000,6799,Elektron VN,2,0,19944,SSh 7 Petrozavodsk
941584,1660752000,19941,Nefis Kazan,0,1,6803,Khimik Vurnary
941585,1660753800,19454,Sakhalinets,1,0,14470,Balashikha
