fixtueID,timestamp,home_team_id,home_team_name,home_goals,away_goals,away_team_id,away_team_name
1048575,1690569000,175,Hamburger SV,5,3,174,FC Schalke 04
1048576,1690655400,158,Fortuna Dusseldorf,1,0,159,Hertha Berlin
1048577,1690628400,745,FC Kaiserslautern,1,2,186,FC St. Pauli
1048578,1690628400,166,Hannover 96,2,2,1660,SV Elversberg
1048579,1690716600,178,SpVgg Greuther Furth,5,0,185,SC Paderborn 07
1048580,1690716600,1321,Hansa Rostock,2,0,171,FC Nurnberg
1048581,1690716600,744,Eintracht Braunschweig,0,1,191,Holstein Kiel
1048582,1690628400,1324,VfL Osnabruck,2,3,785,Karlsruher SC
1048583,1690628400,1319,SV Wehen,1,1,179,FC Magdeburg
1048584,1691260200,174,FC Schalke 04,3,0,745,FC Kaiserslautern
1048585,1691166600,159,Hertha Berlin,0,1,1319,SV Wehen
1048586,1691233200,186,FC St. Pauli,0,0,158,Fortuna Dusseldorf
1048587,1691166600,185,SC Paderborn 07,1,1,1324,VfL Osnabruck
1048588,1691321400,785,Karlsruher SC,2,2,175,Hamburger SV
1048589,1691233200,191,Holstein Kiel,2,1,178,SpVgg Greuther Furth
1048590,1691321400,179,FC Magdeburg,2,1,744,Eintracht Braunschweig
1048591,1691321400,171,FC Nurnberg,2,2,166,Hannover 96
1048592,1691233200,1660,SV Elversberg,1,2,1321,Hansa Rostock
1048593,1692469800,175,Hamburger SV,3,0,159,Hertha Berlin
1048594,1692442800,158,Fortuna Dusseldorf,1,2,185,SC Paderborn 07
1048595,1692531000,191,Holstein Kiel,2,4,179,FC Magdeburg
1048596,1692376200,745,FC Kaiserslautern,3,2,1660,SV Elversberg
1048597,1692442800,178,SpVgg Greuther Furth,0,0,186,FC St. Pauli
1048598,1692442800,1321,Hansa Rostock,1,2,166,Hannover 96
1048599,1692531000,744,Eintracht Braunschweig,1,0,174,FC Schalke 04
1048600,1692531000,1324,VfL Osnabruck,2,3,171,FC Nurnberg
1048601,1692376200,1319,SV Wehen,1,0,785,Karlsruher SC
1048602,1692981000,174,FC Schalke 04,0,2,191,Holstein Kiel
1048603,1693047600,159,Hertha Berlin,5,0,178,SpVgg Greuther Furth
1048604,1693135800,186,FC St. Pauli,0,0,179,FC Magdeburg
1048605,1692981000,185,SC Paderborn 07,1,2,745,FC Kaiserslautern
1048606,1693135800,785,Karlsruher SC,2,0,744,Eintracht Braunschweig
1048607,1693074600,166,Hannover 96,0,1,175,Hamburger SV
1048608,1693047600,1321,Hansa Rostock,2,1,1324,VfL Osnabruck
1048609,1693135800,171,FC Nurnberg,2,1,1319,SV Wehen
1048610,1693047600,1660,SV Elversberg,0,5,158,Fortuna Dusseldorf
1048611,1693740600,175,Hamburger SV,2,0,1321,Hansa Rostock
1048612,1693585800,158,Fortuna Dusseldorf,3,1,785,Karlsruher SC
1048613,1693652400,191,Holstein Kiel,2,1,185,SC Paderborn 07
1048614,1693679400,745,FC Kaiserslautern,3,1,171,FC Nurnberg
1048615,1693652400,179,FC Magdeburg,6,4,159,Hertha Berlin
1048616,1693740600,178,SpVgg Greuther Furth,1,3,166,Hannover 96
1048617,1693585800,744,Eintracht Braunschweig,1,1,186,FC St. Pauli
1048618,1693740600,1324,VfL Osnabruck,0,1,1660,SV Elversberg
1048619,1693652400,1319,SV Wehen,1,1,174,FC Schalke 04
1048620,1694889000,174,FC Schalke 04,4,3,179,FC Magdeburg
1048621,1694950200,159,Hertha Berlin,3,0,744,Eintracht Braunschweig
1048622,1694950200,186,FC St. Pauli,5,1,191,Holstein Kiel
1048623,1694795400,185,SC Paderborn 07,2,1,1319,SV Wehen
1048624,1694862000,785,Karlsruher SC,1,1,745,FC Kaiserslautern
1048625,1694950200,166,Hannover 96,7,0,1324,VfL Osnabruck
1048626,1694862000,1321,Hansa Rostock,1,3,158,Fortuna Dusseldorf
1048627,1694795400,171,FC Nurnberg,1,1,178,SpVgg Greuther Furth
1048628,1694862000,1660,SV Elversberg,2,1,175,Hamburger SV
1048629,1695555000,158,Fortuna Dusseldorf,1,1,166,Hannover 96
