fixtueID,timestamp,home_team_id,home_team_name,home_goals,away_goals,away_team_id,away_team_name
731584,1629649800,500,Bologna,3,2,514,Salernitana
731585,1629736200,490,Cagliari,2,2,515,Spezia
731586,1629571500,511,Empoli,1,3,487,Lazio
731587,1629563400,504,Verona,2,3,488,Sassuolo
731588,1629563400,505,Inter,4,0,495,Genoa
731589,1629657900,492,Napoli,2,0,517,Venezia
731590,1629657900,497,AS Roma,3,1,502,Fiorentina
731591,1629744300,498,Sampdoria,0,1,489,AC Milan
731592,1629571500,503,Torino,1,2,499,Atalanta
731593,1629649800,494,Udinese,2,2,496,Juventus
731594,1630168200,499,Atalanta,0,0,500,Bologna
731595,1630176300,502,Fiorentina,2,1,503,Torino
731596,1630254600,495,Genoa,1,2,492,Napoli
731597,1630089900,504,Verona,1,3,505,Inter
731598,1630176300,496,Juventus,0,1,511,Empoli
731599,1630168200,487,Lazio,6,1,515,Spezia
731600,1630262700,489,AC Milan,4,1,490,Cagliari
731601,1630262700,514,Salernitana,0,4,497,AS Roma
731602,1630254600,488,Sassuolo,0,0,498,Sampdoria
731603,1630081800,494,Udinese,3,0,517,Venezia
731604,1631385900,499,Atalanta,1,2,502,Fiorentina
731605,1631558700,500,Bologna,1,0,504,Verona
731606,1631451600,490,Cagliari,2,3,495,Genoa
731607,1631365200,511,Empoli,1,2,517,Venezia
731608,1631462400,489,AC Milan,2,0,487,Lazio
731609,1631376000,492,Napoli,2,1,496,Juventus
731610,1631472300,497,AS Roma,2,1,488,Sassuolo
731611,1631442600,498,Sampdoria,2,2,505,Inter
731612,1631451600,515,Spezia,0,1,494,Udinese
731613,1631451600,503,Torino,4,0,514,Salernitana
731614,1632047400,511,Empoli,0,3,498,Sampdoria
731615,1631970000,495,Genoa,1,2,502,Fiorentina
731616,1632067200,504,Verona,3,2,497,AS Roma
731617,1631980800,505,Inter,6,1,500,Bologna
731618,1632077100,496,Juventus,1,1,489,AC Milan
731619,1632067200,487,Lazio,2,2,490,Cagliari
731620,1631990700,514,Salernitana,0,1,499,Atalanta
731621,1631904300,488,Sassuolo,0,1,503,Torino
731622,1632163500,494,Udinese,0,4,492,Napoli
731623,1632056400,517,Venezia,1,2,515,Spezia
731624,1632249900,499,Atalanta,2,1,488,Sassuolo
731625,1632241800,500,Bologna,2,2,495,Genoa
731626,1632336300,490,Cagliari,0,2,511,Empoli
731627,1632249900,502,Fiorentina,1,3,505,Inter
731628,1632336300,489,AC Milan,2,0,517,Venezia
731629,1632422700,497,AS Roma,1,0,494,Udinese
731630,1632328200,514,Salernitana,2,2,504,Verona
731631,1632414600,498,Sampdoria,0,4,492,Napoli
731632,1632328200,515,Spezia,2,3,496,Juventus
731633,1632414600,503,Torino,1,1,487,Lazio
731634,1632661200,511,Empoli,4,2,500,Bologna
731635,1632595500,495,Genoa,3,3,504,Verona
731636,1632585600,505,Inter,2,2,499,Atalanta
731637,1632652200,496,Juventus,3,2,498,Sampdoria
731638,1632672000,487,Lazio,3,2,497,AS Roma
731639,1632681900,492,Napoli,2,0,490,Cagliari
731640,1632661200,488,Sassuolo,1,0,514,Salernitana
731641,1632574800,515,Spezia,1,2,489,AC Milan
731642,1632661200,494,Udinese,0,1,502,Fiorentina
731643,1632768300,517,Venezia,1,1,503,Torino
731644,1633286700,499,Atalanta,2,3,489,AC Milan
731645,1633257000,500,Bologna,3,0,487,Lazio
731646,1633113900,490,Cagliari,1,1,517,Venezia
731647,1633276800,502,Fiorentina,1,2,492,Napoli
731648,1633266000,504,Verona,4,0,515,Spezia
731649,1633276800,497,AS Roma,2,0,511,Empoli
731650,1633179600,514,Salernitana,1,0,495,Genoa
731651,1633266000,498,Sampdoria,3,3,494,Udinese
731652,1633200300,488,Sassuolo,1,2,505,Inter
731653,1633190400,503,Torino,0,1,496,Juventus
731654,1634466600,490,Cagliari,3,1,498,Sampdoria
731655,1634475600,511,Empoli,1,4,499,Atalanta
731656,1634475600,495,Genoa,2,2,488,Sassuolo
731657,1634496300,496,Juventus,1,0,497,AS Roma
731658,1634400000,487,Lazio,3,1,505,Inter
731659,1634409900,489,AC Milan,3,2,504,Verona
731660,1634486400,492,Napoli,1,0,503,Torino
731661,1634389200,515,Spezia,2,1,514,Salernitana
731662,1634475600,494,Udinese,1,1,500,Bologna
731663,1634582700,517,Venezia,1,0,502,Fiorentina
731664,1635071400,499,Atalanta,1,1,494,Udinese
731665,1635014700,500,Bologna,2,4,489,AC Milan
731666,1635080400,502,Fiorentina,3,0,490,Cagliari
731667,1635080400,504,Verona,4,1,487,Lazio
731668,1635101100,505,Inter,1,1,496,Juventus
731669,1635091200,497,AS Roma,0,0,492,Napoli
731670,1634994000,514,Salernitana,2,4,511,Empoli
731671,1634928300,498,Sampdoria,2,1,515,Spezia
731672,1635004800,488,Sassuolo,3,1,517,Venezia
731673,1634920200,503,Torino,3,2,495,Genoa
731674,1635360300,490,Cagliari,1,2,497,AS Roma
731675,1635360300,511,Empoli,0,2,505,Inter
731676,1635352200,496,Juventus,1,2,488,Sassuolo
731677,1635360300,487,Lazio,1,0,502,Fiorentina
731678,1635273900,489,AC Milan,1,0,503,Torino
731679,1635446700,492,Napoli,3,0,500,Bologna
731680,1635352200,498,Sampdoria,1,3,499,Atalanta
731681,1635265800,515,Spezia,1,1,495,Genoa
731682,1635352200,494,Udinese,1,1,504,Verona
731683,1635265800,517,Venezia,1,2,514,Salernitana
731684,1635598800,499,Atalanta,2,2,487,Lazio
731685,1635795900,500,Bologna,2,0,490,Cagliari
731686,1635688800,502,Fiorentina,3,0,515,Spezia
731687,1635688800,495,Genoa,0,0,517,Venezia
731688,1635609600,504,Verona,2,1,496,Juventus
731689,1635679800,505,Inter,2,0,494,Udinese
731690,1635709500,497,AS Roma,1,2,489,AC Milan
731691,1635699600,514,Salernitana,0,1,492,Napoli
731692,1635688800,488,Sassuolo,1,2,511,Empoli
731693,1635619500,503,Torino,3,0,498,Sampdoria
731694,1636227900,490,Cagliari,1,2,499,Atalanta
731695,1636141500,511,Empoli,2,2,495,Genoa
731696,1636218000,496,Juventus,1,0,502,Fiorentina
731697,1636304400,487,Lazio,3,0,514,Salernitana
731698,1636314300,489,AC Milan,1,1,505,Inter
731699,1636304400,492,Napoli,1,1,504,Verona
731700,1636293600,498,Sampdoria,1,2,500,Bologna
731701,1636207200,515,Spezia,1,0,503,Torino
731702,1636293600,494,Udinese,3,2,488,Sassuolo
731703,1636284600,517,Venezia,3,2,497,AS Roma
731704,1637416800,499,Atalanta,5,2,515,Spezia
731705,1637503200,500,Bologna,0,1,517,Venezia
731706,1637437500,502,Fiorentina,4,3,489,AC Milan
731707,1637523900,495,Genoa,0,2,497,AS Roma
731708,1637602200,504,Verona,2,1,511,Empoli
731709,1637514000,505,Inter,3,2,492,Napoli
