fixtueID,timestamp,home_team_id,home_team_name,home_goals,away_goals,away_team_id,away_team_name
1092776,1693058400,1994,Khimki,0,0,2004,Volgar Astrakhan
1092777,1693134000,1089,Enisey,4,2,1087,Ska-khabarovsk
1092778,1693148400,2001,FK Neftekhimik,1,4,6822,Rodina Moskva
1092779,1693152000,6813,Makhachkala,1,1,1998,Shinnik Yaroslavl
1092780,1693144800,6786,Akron,1,2,2000,Tyumen
1092781,1693238400,1077,Arsenal Tula,1,1,3985,Torpedo Moskva
1092782,1693063800,6831,Urozhay,0,1,6787,Alaniya Vladikavkaz
1092783,1693152000,6791,Chernomorets,0,0,6801,KAMAZ
1092784,1693060200,1995,FK Sokol Saratov,0,1,6811,Leningradets
1092785,1693666800,1994,Khimki,1,1,6831,Urozhay
1092786,1693666800,6787,Alaniya Vladikavkaz,2,1,1089,Enisey
1092787,1693845000,6822,Rodina Moskva,2,0,3985,Torpedo Moskva
1092788,1693738800,1998,Shinnik Yaroslavl,1,0,2001,FK Neftekhimik
1092790,1693742400,6786,Akron,0,0,6791,Chernomorets
1092791,1693749600,6801,KAMAZ,1,1,6811,Leningradets
1092792,1693663200,2004,Volgar Astrakhan,1,2,1995,FK Sokol Saratov
1092793,1693836000,2000,Tyumen,1,2,1077,Arsenal Tula
1092794,1694449800,3985,Torpedo Moskva,1,0,6786,Akron
1092795,1694358000,6787,Alaniya Vladikavkaz,1,1,2000,Tyumen
1092796,1694341800,1089,Enisey,2,2,6822,Rodina Moskva
1092797,1694271600,2001,FK Neftekhimik,2,1,6831,Urozhay
1092798,1694268000,1998,Shinnik Yaroslavl,2,1,6791,Chernomorets
1092799,1694322000,1087,Ska-khabarovsk,1,1,2004,Volgar Astrakhan
1092800,1694439000,1077,Arsenal Tula,0,2,1994,Khimki
1092801,1694358000,6811,Leningradets,1,2,6813,Makhachkala
1092802,1694264400,1995,FK Sokol Saratov,1,1,6801,KAMAZ
1092803,1694955600,3985,Torpedo Moskva,1,0,1089,Enisey
1092804,1695051000,6813,Makhachkala,3,0,6787,Alaniya Vladikavkaz
1092805,1694926800,1087,Ska-khabarovsk,3,1,1994,Khimki
1092806,1694872800,6801,KAMAZ,0,1,2001,FK Neftekhimik
1092807,1694962800,1077,Arsenal Tula,2,0,1998,Shinnik Yaroslavl
1092808,1694955600,6831,Urozhay,0,1,6786,Akron
1092809,1694959200,6791,Chernomorets,5,3,1995,FK Sokol Saratov
1092810,1694962800,6811,Leningradets,0,0,2004,Volgar Astrakhan
1092811,1695042000,2000,Tyumen,2,2,6822,Rodina Moskva
1092812,1695479400,1994,Khimki,2,1,6811,Leningradets
1092813,1695400200,6801,KAMAZ,1,0,3985,Torpedo Moskva
1092814,1695481200,6786,Akron,0,0,2001,FK Neftekhimik
1092815,1695474000,6813,Makhachkala,2,0,1995,FK Sokol Saratov
1092816,1695481200,6822,Rodina Moskva,1,4,1998,Shinnik Yaroslavl
1092817,1695457800,1089,Enisey,3,1,6791,Chernomorets
1092818,1695477600,6787,Alaniya Vladikavkaz,2,1,1087,Ska-khabarovsk
1092819,1695477600,2004,Volgar Astrakhan,1,1,1077,Arsenal Tula
1092820,1695474000,6831,Urozhay,1,1,2000,Tyumen
1092821,1696154400,3985,Torpedo Moskva,2,3,6811,Leningradets
1092822,1696154400,1089,Enisey,0,1,6813,Makhachkala
1092823,1696251600,6822,Rodina Moskva,1,0,6801,KAMAZ
1092824,1696172400,2001,FK Neftekhimik,0,0,1077,Arsenal Tula
1092825,1696165200,1998,Shinnik Yaroslavl,1,2,2000,Tyumen
1092826,1696253400,6786,Akron,0,2,1994,Khimki
1092827,1696132800,1087,Ska-khabarovsk,2,0,6831,Urozhay
1092828,1696168800,6791,Chernomorets,1,1,2004,Volgar Astrakhan
1092829,1696262400,1995,FK Sokol Saratov,0,0,6787,Alaniya Vladikavkaz
1092879,1693724400,1087,Ska-khabarovsk,0,2,6813,Makhachkala
