fixtueID,timestamp,home_team_id,home_team_name,home_goals,away_goals,away_team_id,away_team_name
1042014,1690122600,558,Spartak Moscow,3,2,1080,Orenburg
1042015,1690131600,779,FC Rostov,2,1,1993,Fakel Voronezh
1042016,1689955200,1088,Dinamo Moscow,1,3,621,Krasnodar
1042017,1690036200,597,Lokomotiv Moscow,2,2,1083,Rubin
1042018,1690045200,1085,Akhmat Grozny,1,2,1079,Krylya Sovetov
1042019,1690131600,2012,PFC Sochi,2,0,2006,Baltika
1042020,1690028100,2011,Nizhny Novgorod,0,2,596,Zenit Saint Petersburg
1042021,1690020000,1084,Ural,2,1,555,CSKA Moscow
1042022,1690821000,558,Spartak Moscow,2,1,2006,Baltika
1042023,1690650000,779,FC Rostov,1,1,596,Zenit Saint Petersburg
1042024,1690736400,621,Krasnodar,2,0,2012,PFC Sochi
1042025,1690632000,1079,Krylya Sovetov,3,3,1088,Dinamo Moscow
1042026,1690736400,1085,Akhmat Grozny,2,3,555,CSKA Moscow
1042027,1690718400,1083,Rubin,1,1,1080,Orenburg
1042028,1690727400,1993,Fakel Voronezh,1,4,597,Lokomotiv Moscow
1042029,1690641000,1084,Ural,0,0,2011,Nizhny Novgorod
1042030,1691337600,596,Zenit Saint Petersburg,2,3,1088,Dinamo Moscow
1042031,1691168400,621,Krasnodar,1,0,2011,Nizhny Novgorod
1042032,1691236800,1079,Krylya Sovetov,5,1,779,FC Rostov
1042033,1691254800,555,CSKA Moscow,4,1,597,Lokomotiv Moscow
1042034,1691341200,2012,PFC Sochi,1,2,1085,Akhmat Grozny
1042035,1691245800,1083,Rubin,1,4,558,Spartak Moscow
1042036,1691332200,2006,Baltika,2,1,1993,Fakel Voronezh
1042037,1691245800,1080,Orenburg,0,2,1084,Ural
1042038,1691937000,596,Zenit Saint Petersburg,2,0,1993,Fakel Voronezh
1042039,1691859600,779,FC Rostov,3,0,1083,Rubin
1042040,1691946000,555,CSKA Moscow,3,1,2012,PFC Sochi
1042041,1691928000,1088,Dinamo Moscow,2,0,2006,Baltika
1042042,1691841600,597,Lokomotiv Moscow,1,1,1079,Krylya Sovetov
1042043,1692030600,2011,Nizhny Novgorod,2,0,1085,Akhmat Grozny
1042044,1691766000,1084,Ural,3,2,558,Spartak Moscow
1042045,1691850600,1080,Orenburg,0,2,621,Krasnodar
1042046,1692549000,558,Spartak Moscow,1,3,596,Zenit Saint Petersburg
1042047,1692462600,621,Krasnodar,1,1,597,Lokomotiv Moscow
1042048,1692446400,1088,Dinamo Moscow,2,1,555,CSKA Moscow
1042049,1692550800,1085,Akhmat Grozny,4,0,1080,Orenburg
1042050,1692464400,2012,PFC Sochi,4,0,779,FC Rostov
1042051,1692376200,1083,Rubin,2,1,1079,Krylya Sovetov
1042052,1692455400,2006,Baltika,0,1,1084,Ural
1042053,1692541800,1993,Fakel Voronezh,2,0,2011,Nizhny Novgorod
1042054,1693051200,596,Zenit Saint Petersburg,4,0,1084,Ural
1042055,1693067400,558,Spartak Moscow,0,0,1085,Akhmat Grozny
1042056,1693146600,1079,Krylya Sovetov,2,1,2006,Baltika
1042057,1693155600,2012,PFC Sochi,0,1,597,Lokomotiv Moscow
1042058,1693060200,1083,Rubin,2,2,1088,Dinamo Moscow
1042059,1693069200,2011,Nizhny Novgorod,1,0,779,FC Rostov
1042060,1692982800,1993,Fakel Voronezh,0,0,621,Krasnodar
1042061,1692973800,1080,Orenburg,1,1,555,CSKA Moscow
1042062,1693760400,779,FC Rostov,1,2,1088,Dinamo Moscow
1042063,1693674000,621,Krasnodar,2,0,558,Spartak Moscow
1042064,1693665000,1079,Krylya Sovetov,3,0,1993,Fakel Voronezh
1042065,1693751400,555,CSKA Moscow,1,1,596,Zenit Saint Petersburg
1042066,1693743300,597,Lokomotiv Moscow,3,2,2006,Baltika
1042067,1693656900,2011,Nizhny Novgorod,2,1,1083,Rubin
