id,team_name,league,elo_rating,games,prev_elos
779,FC Rostov,235,1550.83,87,"{1690131600: 1618.39, 1690393500: 1629.3500000000001, 1690650000: 1642.2600000000002, 1691236800: 1648.3700000000001, 1691500500: 1612.5900000000001, 1691859600: 1599.4800000000002, 1692464400: 1619.0400000000002, 1693069200: 1578.5600000000002, 1693413000: 1559.0900000000001, 1693760400: 1584.0500000000002, 1694888100: 1559.7000000000003, 1695219300: 1565.5400000000002, 1695571200: 1568.7500000000002, 1696003200: 1571.5000000000002, 1696342500: 1567.4600000000003, 1696694400: 1556.2300000000002}"
2011,Nizhny Novgorod,235,1543.02,87,"{1690028100: 1493.25, 1690299000: 1481.1, 1690641000: 1476.82, 1691168400: 1488.54, 1691516700: 1483.22, 1692030600: 1478.76, 1692541800: 1508.95, 1693069200: 1487.75, 1693326600: 1507.22, 1693656900: 1493.22, 1694793600: 1511.1100000000001, 1695132900: 1522.3300000000002, 1695553200: 1494.43, 1696072500: 1526.63, 1696428900: 1520.2800000000002, 1696762800: 1512.0600000000002}"
1083,Rubin,235,1540.12,83,"{1690036200: 1589.01, 1690393500: 1600.69, 1690718400: 1587.78, 1691245800: 1582.8799999999999, 1691508600: 1550.79, 1691859600: 1534.93, 1692376200: 1515.3700000000001, 1693060200: 1534.41, 1693310400: 1533.96, 1693656900: 1556.44, 1694957400: 1538.55, 1695219300: 1521.85, 1695657600: 1518.6399999999999, 1696080600: 1544.1599999999999, 1696334400: 1522.9899999999998, 1696780800: 1507.37}"
1993,Fakel Voronezh,235,1531.92,94,"{1690131600: 1549.03, 1690385400: 1538.07, 1690727400: 1497.3, 1691332200: 1474.1399999999999, 1691595000: 1463.09, 1691937000: 1519.35, 1692541800: 1513.99, 1692982800: 1535.19, 1693318500: 1539.95, 1693665000: 1514.1000000000001, 1694948400: 1493.9, 1695305700: 1505.6100000000001, 1695657600: 1517.0400000000002, 1696158000: 1491.5200000000002, 1696419000: 1513.9800000000002, 1696771800: 1519.9800000000002}"
6787,Alaniya Vladikavkaz,236,1508.50,91,"{1689611400: 1513.25, 1690210800: 1506.95, 1690812000: 1516.72, 1691326800: 1525.18, 1692021600: 1510.3600000000001, 1692543600: 1520.13, 1693063800: 1542.18, 1693666800: 1553.29, 1694358000: 1560.12, 1695051000: 1545.4799999999998, 1695477600: 1506.2899999999997, 1696262400: 1513.8899999999996, 1696867200: 1508.7299999999996}"
2012,PFC Sochi,235,1449.42,83,"{1690131600: 1480.43, 1690385400: 1507.5, 1690736400: 1548.27, 1691341200: 1537.02, 1691586900: 1515.06, 1691946000: 1497.3899999999999, 1692464400: 1491.34, 1693155600: 1531.82, 1693404900: 1517.47, 1693735200: 1524.84, 1694880000: 1502.8999999999999, 1695211200: 1496.3899999999999, 1695466800: 1511.32, 1696158000: 1502.34, 1696420800: 1479.8799999999999, 1696676400: 1462.6599999999999}"
6813,Makhachkala,236,1448.09,47,"{1689438600: 1354.57, 1690128000: 1329.47, 1690732800: 1331.05, 1691337600: 1349.6599999999999, 1691938800: 1321.2699999999998, 1692540000: 1340.7499999999998, 1693152000: 1346.2199999999998, 1693724400: 1339.3799999999999, 1694358000: 1381.1299999999999, 1695051000: 1403.6999999999998, 1695474000: 1442.8899999999999, 1696154400: 1456.4199999999998, 1696770000: 1477.6799999999998}"
6786,Akron,236,1425.72,90,"{1689516000: 1475.57, 1690124400: 1485.1799999999998, 1690563600: 1508.6, 1691326800: 1517.28, 1691910000: 1532.1, 1692543600: 1510.08, 1693144800: 1503.07, 1693742400: 1470.04, 1694449800: 1458.56, 1694955600: 1436.45, 1695481200: 1452.14, 1696253400: 1440.41, 1696770000: 1396.13}"
6822,Rodina Moskva,236,1405.97,49,"{1689519600: 1499.36, 1690128000: 1510.7199999999998, 1690729200: 1504.8799999999999, 1691334000: 1500.87, 1691848800: 1489.86, 1692543600: 1455.83, 1693148400: 1433.78, 1693845000: 1467.6299999999999, 1694341800: 1480.04, 1695042000: 1479.57, 1695481200: 1477.8999999999999, 1696251600: 1421.3, 1696775400: 1431.6399999999999}"
1994,Khimki,236,1405.04,82,"{1689602400: 1335.63, 1690216200: 1311.13, 1690729200: 1286.92, 1691240400: 1317.89, 1691848800: 1342.91, 1692455400: 1376.94, 1693058400: 1361.29, 1693666800: 1348.44, 1694439000: 1338.77, 1694926800: 1374.26, 1695479400: 1348.95, 1696253400: 1360.53, 1696867200: 1404.81}"
2000,Tyumen,236,1370.09,13,"{1689602400: 1300.0, 1690097400: 1324.5, 1690725600: 1307.74, 1691244000: 1326.25, 1691935200: 1354.45, 1692540000: 1338.3300000000002, 1693144800: 1332.8600000000001, 1693836000: 1365.89, 1694358000: 1335.8000000000002, 1695042000: 1350.4400000000003, 1695474000: 1352.1100000000004, 1696165200: 1351.6800000000003, 1696858200: 1378.9600000000003}"
1089,Enisey,236,1362.73,93,"{1689519600: 1389.76, 1690102800: 1412.62, 1690725600: 1381.85, 1691424000: 1363.34, 1691924400: 1331.8999999999999, 1692457200: 1355.9399999999998, 1693134000: 1352.34, 1693666800: 1378.6499999999999, 1694341800: 1371.82, 1694955600: 1372.29, 1695457800: 1356.36, 1696154400: 1378.3999999999999, 1696683600: 1357.1399999999999}"
6791,Chernomorets,236,1352.40,13,"{1689611400: 1300.0, 1690128000: 1306.3, 1690722000: 1312.1399999999999, 1691334000: 1320.2199999999998, 1691857800: 1328.35, 1692514800: 1340.1999999999998, 1693152000: 1349.6699999999998, 1693742400: 1343.0299999999997, 1694268000: 1354.5099999999998, 1694959200: 1339.4199999999998, 1695457800: 1361.9499999999998, 1696168800: 1339.9099999999999, 1696777200: 1328.4199999999998}"
1998,Shinnik Yaroslavl,236,1351.27,48,"{1689490800: 1329.2, 1690124400: 1310.79, 1690722000: 1295.2, 1691240400: 1306.92, 1691845200: 1281.9, 1692453600: 1308.96, 1693152000: 1322.3400000000001, 1693738800: 1329.18, 1694268000: 1341.5, 1694962800: 1356.59, 1695481200: 1327.54, 1696165200: 1384.1399999999999, 1696683600: 1356.86}"
2001,FK Neftekhimik,236,1347.04,87,"{1689519600: 1402.32, 1690210800: 1410.8, 1690729200: 1401.03, 1691334000: 1370.06, 1691924400: 1361.9299999999998, 1692635040: 1337.8899999999999, 1693148400: 1322.32, 1693738800: 1288.47, 1694271600: 1276.15, 1694872800: 1290.47, 1695481200: 1318.44, 1696172400: 1330.17, 1696773600: 1322.89}"
1077,Arsenal Tula,236,1332.18,79,"{1689519600: 1260.36, 1690128000: 1256.9199999999998, 1690563600: 1255.34, 1691424000: 1246.6599999999999, 1691857800: 1278.1, 1692626400: 1266.25, 1693238400: 1275.44, 1693836000: 1272.94, 1694439000: 1303.03, 1694962800: 1267.54, 1695477600: 1296.59, 1696172400: 1297.58, 1696773600: 1304.86}"
1087,Ska-khabarovsk,236,1330.12,89,"{1689490800: 1370.8, 1690097400: 1389.21, 1690642800: 1405.97, 1691334000: 1385.8700000000001, 1691910000: 1396.88, 1692514800: 1418.9, 1693134000: 1409.43, 1693724400: 1383.1200000000001, 1694322000: 1341.3700000000001, 1694926800: 1329.0200000000002, 1695477600: 1354.3300000000002, 1695807000: 1346.7300000000002, 1696132800: 1339.4900000000002, 1696773600: 1354.2700000000002}"
3985,Torpedo Moskva,236,1322.30,89,"{1689438600: 1311.78, 1690216200: 1336.8799999999999, 1690722000: 1361.09, 1691247600: 1353.01, 1692021600: 1325.92, 1692635040: 1316.15, 1693238400: 1331.72, 1693845000: 1334.22, 1694449800: 1321.81, 1694955600: 1343.9199999999998, 1695400200: 1359.85, 1696154400: 1342.6599999999999, 1696858200: 1313.4299999999998}"
6801,KAMAZ,236,1307.73,90,"{1689516000: 1287.69, 1690120800: 1278.0800000000002, 1690812000: 1302.8600000000001, 1691337600: 1294.4, 1691935200: 1322.7900000000002, 1692626400: 1338.91, 1693152000: 1329.72, 1693749600: 1336.3600000000001, 1694264400: 1329.8700000000001, 1694872800: 1336.94, 1695400200: 1308.97, 1695828600: 1326.16, 1696251600: 1338.28, 1696773600: 1327.94}"
1995,FK Sokol Saratov,236,1300.08,14,"{1689519600: 1300.0, 1690124400: 1288.64, 1690642800: 1304.23, 1691247600: 1324.33, 1691854200: 1351.4199999999998, 1692455400: 1353.7399999999998, 1693060200: 1369.3899999999999, 1693663200: 1339.8899999999999, 1694264400: 1358.1299999999999, 1694959200: 1351.06, 1695474000: 1328.53, 1695807000: 1315.0, 1696262400: 1322.24, 1696773600: 1327.4}"
6811,Leningradets,236,1274.55,14,"{1689519600: 1300.0, 1690102800: 1303.44, 1690729200: 1334.21, 1691244000: 1338.22, 1691845200: 1310.02, 1692543600: 1282.96, 1693060200: 1289.97, 1693749600: 1319.47, 1694358000: 1325.96, 1694962800: 1303.39, 1695479400: 1293.0, 1695828600: 1281.42, 1696154400: 1269.3000000000002, 1696777200: 1298.5300000000002}"
6831,Urozhay,236,1256.04,89,"{1689519600: 1339.82, 1690120800: 1316.96, 1690732800: 1292.18, 1691335800: 1273.5700000000002, 1691854200: 1291.8700000000001, 1692453600: 1289.5500000000002, 1693063800: 1276.17, 1693666800: 1265.0600000000002, 1694271600: 1274.7300000000002, 1694955600: 1260.4100000000003, 1695474000: 1244.7200000000003, 1696132800: 1245.1500000000003, 1696775400: 1230.3700000000003}"
2004,Volgar Astrakhan,236,1244.43,87,"{1689519600: 1274.17, 1690124400: 1265.69, 1690722000: 1242.27, 1691335800: 1230.55, 1691938800: 1212.25, 1692457200: 1192.77, 1693058400: 1196.37, 1693663200: 1209.2199999999998, 1694322000: 1190.9799999999998, 1694962800: 1203.3299999999997, 1695477600: 1213.7199999999998, 1696168800: 1212.7299999999998, 1696773600: 1224.2199999999998}"
