fixtureID,timestamp,home_team_id,home_team_name,home_goals,away_goals,away_team_id,away_team_name
873008,1668342600,181,SV Darmstadt 98,1,1,178,SpVgg Greuther Furth
873009,1668254400,180,FC Heidenheim,5,4,177,Jahn Regensburg
873010,1668342600,171,FC Nurnberg,2,1,185,SC Paderborn 07
873011,1668187800,191,Holstein Kiel,1,1,166,Hannover 96
873012,1668187800,158,Fortuna Dusseldorf,1,2,745,FC Kaiserslautern
873013,1668254400,785,Karlsruher SC,4,4,186,FC St. Pauli
873014,1668281400,744,Eintracht Braunschweig,0,1,1321,Hansa Rostock
873015,1674995400,188,Arminia Bielefeld,1,2,189,SV Sandhausen
873016,1674995400,175,Hamburger SV,4,2,744,Eintracht Braunschweig
873017,1674907200,181,SV Darmstadt 98,2,0,177,Jahn Regensburg
873018,1674907200,180,FC Heidenheim,2,0,1321,Hansa Rostock
873019,1674995400,171,FC Nurnberg,0,1,186,FC St. Pauli
873020,1674907200,191,Holstein Kiel,2,1,178,SpVgg Greuther Furth
873021,1674840600,158,Fortuna Dusseldorf,3,2,179,FC Magdeburg
873022,1674934200,166,Hannover 96,1,3,745,FC Kaiserslautern
873023,1674840600,785,Karlsruher SC,0,1,185,SC Paderborn 07
873024,1675539000,178,SpVgg Greuther Furth,1,0,171,FC Nurnberg
873025,1675600200,186,FC St. Pauli,2,0,166,Hannover 96
873026,1675445400,185,SC Paderborn 07,4,1,158,Fortuna Dusseldorf
873027,1675600200,1321,Hansa Rostock,0,2,175,Hamburger SV
873028,1675445400,189,SV Sandhausen,0,4,181,SV Darmstadt 98
873029,1675512000,177,Jahn Regensburg,1,3,188,Arminia Bielefeld
873030,1675600200,179,FC Magdeburg,1,1,785,Karlsruher SC
873031,1675512000,744,Eintracht Braunschweig,2,0,180,FC Heidenheim
873032,1675512000,745,FC Kaiserslautern,2,1,191,Holstein Kiel
873033,1676050200,188,Arminia Bielefeld,0,1,1321,Hansa Rostock
873034,1676205000,181,SV Darmstadt 98,2,1,744,Eintracht Braunschweig
873035,1676205000,186,FC St. Pauli,1,0,745,FC Kaiserslautern
873036,1676143800,180,FC Heidenheim,3,3,175,Hamburger SV
873037,1676116800,171,FC Nurnberg,1,0,177,Jahn Regensburg
873038,1676116800,191,Holstein Kiel,2,3,179,FC Magdeburg
873039,1676205000,158,Fortuna Dusseldorf,2,0,189,SV Sandhausen
873040,1676116800,166,Hannover 96,3,4,185,SC Paderborn 07
873041,1676050200,785,Karlsruher SC,2,1,178,SpVgg Greuther Furth
873042,1676721600,178,SpVgg Greuther Furth,2,1,158,Fortuna Dusseldorf
873043,1676809800,175,Hamburger SV,2,1,188,Arminia Bielefeld
873044,1676809800,180,FC Heidenheim,5,0,171,FC Nurnberg
873045,1676655000,185,SC Paderborn 07,1,0,745,FC Kaiserslautern
873046,1676748600,1321,Hansa Rostock,0,1,181,SV Darmstadt 98
873047,1676809800,189,SV Sandhausen,0,3,785,Karlsruher SC
873048,1676721600,177,Jahn Regensburg,1,1,166,Hannover 96
873049,1676721600,179,FC Magdeburg,1,2,186,FC St. Pauli
873050,1676655000,744,Eintracht Braunschweig,2,3,191,Holstein Kiel
873051,1677414600,188,Arminia Bielefeld,0,1,180,FC Heidenheim
873052,1677353400,181,SV Darmstadt 98,1,1,175,Hamburger SV
873053,1677414600,186,FC St. Pauli,1,0,1321,Hansa Rostock
873054,1677326400,171,FC Nurnberg,1,0,189,SV Sandhausen
873055,1677326400,191,Holstein Kiel,1,1,185,SC Paderborn 07
