fixtueID,timestamp,home_team_id,home_team_name,home_goals,away_goals,away_team_id,away_team_name
1052253,1692643500,500,Bologna,0,2,489,AC Milan
1052254,1692462600,511,Empoli,0,1,504,Verona
1052255,1692462600,512,Frosinone,1,3,492,Napoli
1052256,1692470700,495,Genoa,1,4,502,Fiorentina
1052257,1692470700,505,Inter,2,0,1579,Monza
1052258,1692557100,867,Lecce,2,1,487,Lazio
1052259,1692549000,497,AS Roma,2,2,514,Salernitana
1052260,1692549000,488,Sassuolo,0,2,499,Atalanta
1052261,1692635400,503,Torino,0,0,490,Cagliari
1052262,1692557100,494,Udinese,0,3,496,Juventus
1052263,1693248300,490,Cagliari,0,2,505,Inter
1052264,1693153800,502,Fiorentina,2,2,867,Lecce
1052265,1693067400,512,Frosinone,2,1,499,Atalanta
1052266,1693075500,504,Verona,2,1,497,AS Roma
1052267,1693153800,496,Juventus,1,1,500,Bologna
1052268,1693161900,487,Lazio,0,1,495,Genoa
1052269,1693075500,489,AC Milan,4,1,503,Torino
1052270,1693067400,1579,Monza,2,0,511,Empoli
1052271,1693161900,492,Napoli,2,0,488,Sassuolo
1052272,1693240200,514,Salernitana,1,1,494,Udinese
1052273,1693680300,499,Atalanta,3,0,1579,Monza
1052274,1693672200,500,Bologna,2,1,490,Cagliari
1052275,1693766700,511,Empoli,0,2,496,Juventus
1052276,1693758600,505,Inter,4,0,502,Fiorentina
1052277,1693766700,867,Lecce,2,0,514,Salernitana
1052278,1693680300,492,Napoli,1,2,487,Lazio
1052279,1693593900,497,AS Roma,1,2,489,AC Milan
1052280,1693585800,488,Sassuolo,3,1,504,Verona
1052281,1693758600,503,Torino,1,0,495,Genoa
1052282,1693672200,494,Udinese,0,0,512,Frosinone
1052283,1694946600,490,Cagliari,0,0,494,Udinese
1052284,1694966400,502,Fiorentina,3,2,499,Atalanta
1052285,1694955600,512,Frosinone,4,2,488,Sassuolo
1052286,1694889900,495,Genoa,2,2,492,Napoli
1052287,1695062700,504,Verona,0,0,500,Bologna
1052288,1694880000,505,Inter,5,1,489,AC Milan
1052289,1694869200,496,Juventus,3,1,487,Lazio
1052290,1694955600,1579,Monza,1,1,867,Lecce
1052291,1694976300,497,AS Roma,7,0,511,Empoli
1052292,1695054600,514,Salernitana,0,3,503,Torino
1052293,1695560400,499,Atalanta,2,0,490,Cagliari
1052294,1695571200,500,Bologna,0,0,492,Napoli
1052295,1695551400,511,Empoli,0,1,505,Inter
1052296,1695494700,487,Lazio,1,1,1579,Monza
1052297,1695408300,867,Lecce,1,0,495,Genoa
